car,price,body,mileage,engV,engType,registration,year,model,drive,local da compra,regioes,Latitude,Longitude,data da compra,Ano de compra
Opel,4500.0,sedan,336,2.0,Gas,yes,1998,Omega,rear,AK,Oeste,61.370716,-149.493686,2023-06-12 04:45:17,2023
Toyota,9900.0,sedan,130,2.3,Gas,yes,2006,Camry,front,OK,Sul,36.820746,-95.929594,2023-04-06 00:48:35,2023
Audi,19700.0,crossover,172,3.6,Petrol,yes,2007,Q7,full,AZ,Oeste,33.729759,-111.431221,2023-02-12 06:30:23,2023
Kia,6999.0,hatch,124,1.4,Petrol,yes,2008,Rio,front,MA,Norte,42.230171,-71.530106,2023-07-24 08:07:18,2023
Volkswagen,13900.0,other,170,1.9,Diesel,yes,2006,Multivan,front,IA,Norte,42.019842,-93.210526,2023-05-22 13:40:44,2023
Volkswagen,9000.0,sedan,223,2.5,Diesel,yes,2007,T5 (Transporter) ïàññ.,front,IN,Leste,36.278726,-86.302264,2023-11-30 03:16:12,2023
Volkswagen,9200.0,vagon,107,1.6,Petrol,yes,2010,Golf Variant,front,WA,Oeste,47.731157,-120.805472,2023-03-14 12:34:36,2023
Volkswagen,3950.0,hatch,288,1.8,Gas,yes,1996,Golf III,front,MO,Desconhecido,36.116203,-89.831988,2023-08-08 21:15:08,2023
Citroen,23000.0,van,52,1.6,Diesel,yes,2015,Grand C4 Picasso,front,OH,Leste,40.388783,-82.764915,2023-07-22 12:31:24,2023
Kia,14712.555,sedan,1,1.6,Petrol,yes,2015,Cerato,front,AL,Sul,32.806671,-86.79113,2023-04-08 15:10:03,2023
BMW,12900.0,vagon,260,3.0,Diesel,yes,2004,330,rear,ID,Oeste,44.299782,-114.74204,2023-03-20 01:41:21,2023
Lexus,15300.0,crossover,162,3.3,Petrol,yes,2006,RX 300,full,OK,Sul,36.820746,-95.929594,2023-02-25 06:29:53,2023
Chevrolet,9750.0,hatch,98,1.6,Petrol,yes,2011,Cruze,front,CA,Oeste,36.116203,-119.681564,2023-08-30 14:32:24,2023
BMW,15300.0,sedan,250,2.5,Petrol,yes,2006,525,rear,ID,Oeste,44.299782,-114.74204,2023-03-30 04:11:15,2023
Volkswagen,11500.0,van,163,2.5,Diesel,yes,2008,T5 (Transporter) ïàññ.,front,MD,Sul,39.063946,-76.802101,2023-01-04 21:55:55,2023
VAZ,2100.0,sedan,85,,Other,yes,2016,2103,,NV,Oeste,38.313515,-117.055374,2023-08-12 09:31:43,2023
Kia,22000.0,crossover,29,2.0,Gas,yes,2013,Sportage,full,TX,Sul,31.054487,-97.563461,2023-01-10 13:41:10,2023
Volkswagen,8757.0,sedan,32,,Other,no,2015,Jetta,,WI,Norte,43.351915,-88.825217,2023-12-27 22:38:58,2023
Mercedes-Benz,6500.0,van,450,2.3,Diesel,yes,1996,Vito ïàññ.,front,UT,Oeste,40.150032,-111.862434,2023-04-06 02:46:55,2023
Mercedes-Benz,295000.0,sedan,29,6.0,Petrol,yes,2011,S-Guard,rear,NV,Oeste,38.313515,-117.055374,2023-08-18 02:17:45,2023
BMW,29500.0,sedan,230,3.0,Diesel,yes,2011,530,rear,UT,Oeste,40.150032,-111.862434,2023-07-19 19:29:37,2023
Skoda,7900.0,vagon,180,1.8,Petrol,yes,2006,Octavia Tour,full,IN,Leste,36.278726,-86.302264,2023-08-13 04:18:04,2023
Volkswagen,15000.0,van,275,2.5,Diesel,yes,2008,T5 (Transporter) ïàññ.,front,AK,Oeste,61.370716,-149.493686,2023-04-29 17:41:27,2023
Volkswagen,18200.0,hatch,23,1.4,Petrol,yes,2013,Golf VI,front,NH,Norte,43.452492,-71.563896,2023-09-14 07:55:46,2023
BMW,11900.0,sedan,160,2.5,Petrol,yes,2005,525,rear,MO,Desconhecido,36.116203,-89.831988,2023-03-13 14:12:27,2023
Mercedes-Benz,12800.0,other,116,2.2,Diesel,yes,2013,Vito ãðóç.,,WA,Oeste,47.731157,-120.805472,2023-02-05 17:19:27,2023
Volkswagen,27000.0,sedan,85,2.0,Diesel,yes,2013,Passat CC,front,MN,Norte,44.299782,-93.774173,2023-09-28 06:33:34,2023
Honda,12300.0,other,140,2.4,Petrol,yes,2008,Accord,front,UT,Oeste,40.150032,-111.862434,2023-03-29 03:24:11,2023
Ford,10500.0,other,184,2.2,Diesel,yes,2013,Transit ãðóç.,front,PA,Leste,40.590752,-77.209755,2023-01-30 04:35:12,2023
Ford,10400.0,other,194,2.2,Diesel,yes,2013,Transit ãðóç.,front,MD,Sul,39.063946,-76.802101,2023-03-29 17:41:25,2023
Toyota,10200.0,sedan,180,2.4,Petrol,yes,2003,Camry,front,MA,Norte,42.230171,-71.530106,2023-10-31 12:02:44,2023
Land Rover,42000.0,crossover,60,2.0,Petrol,yes,2012,Range Rover Evoque,full,AL,Sul,32.806671,-86.79113,2023-10-30 14:07:51,2023
Renault,2500.0,sedan,170,1.9,Diesel,no,2003,Scenic,front,ND,Norte,47.528912,-99.784012,2023-10-20 17:10:56,2023
Ford,5400.0,hatch,82,1.25,Petrol,yes,2007,Fiesta,front,NJ,Leste,40.298904,-74.521011,2023-02-02 03:55:58,2023
Porsche,112000.0,sedan,14,4.8,Other,yes,2013,Panamera,full,DE,Sul,38.665721,-75.755137,2023-10-07 23:58:51,2023
Volkswagen,49999.0,van,59,2.0,Diesel,yes,2014,Multivan,full,WA,Oeste,47.731157,-120.805472,2023-07-31 10:33:44,2023
Volkswagen,23000.0,sedan,80,2.0,Other,yes,2011,Passat CC,,AR,Sul,34.969704,-92.373123,2023-03-07 09:12:29,2023
Volkswagen,17800.0,sedan,180,3.0,Diesel,yes,2007,Touareg,full,SD,Norte,44.299782,-99.438828,2023-01-11 09:24:16,2023
Kia,11400.0,crossover,114,2.5,Diesel,yes,2008,Sorento,full,NC,Sul,35.630066,-79.806419,2023-05-17 20:26:49,2023
Toyota,23499.0,crossover,174,4.0,Gas,yes,2008,Land Cruiser Prado,full,ND,Norte,47.528912,-99.784012,2023-12-04 11:04:35,2023
Mercedes-Benz,24950.0,other,60,1.8,Petrol,yes,2013,C-Class,,IL,Leste,40.298904,-87.43114,2023-06-28 13:42:22,2023
Audi,14200.0,vagon,200,2.7,Diesel,yes,2006,A6,front,VT,Norte,44.045876,-72.710686,2023-08-04 17:59:20,2023
Chevrolet,10500.0,sedan,67,1.8,Petrol,yes,2011,Cruze,front,MS,Sul,32.321384,-89.251388,2023-11-11 08:59:52,2023
Audi,31500.0,sedan,140,2.0,Diesel,yes,2012,A6,front,ID,Oeste,44.299782,-114.74204,2023-08-01 06:11:20,2023
Mazda,10500.0,sedan,121,2.3,Petrol,yes,2008,6 MPS,full,IA,Norte,42.019842,-93.210526,2023-12-19 23:26:18,2023
Mazda,10800.0,hatch,93,1.6,Gas,yes,2011,3,front,NH,Norte,43.452492,-71.563896,2023-10-12 18:13:16,2023
Toyota,28350.0,crossover,92,2.2,Diesel,yes,2013,Rav 4,full,WI,Norte,43.351915,-88.825217,2023-01-08 16:59:37,2023
VAZ,0.0,hatch,12,1.3,Gas,yes,1986,2108,front,GA,Sul,33.040619,-83.643074,2023-05-03 07:07:53,2023
ZAZ,2100.0,sedan,88,1.2,Gas,yes,2007,1103 Ñëàâóòà,front,FL,Sul,27.766279,-81.686783,2023-09-18 19:48:58,2023
Volkswagen,17900.0,crossover,167,3.0,Diesel,yes,2007,Touareg,full,MT,Norte,46.116203,-112.869665,2023-06-10 21:57:08,2023
Mercedes-Benz,12950.0,other,199,2.2,Diesel,yes,2012,Vito ãðóç.,,NV,Oeste,38.313515,-117.055374,2023-11-30 06:04:13,2023
Mazda,22300.0,sedan,29,2.0,Petrol,yes,2015,6,front,ID,Oeste,44.299782,-114.74204,2023-07-09 19:48:43,2023
Toyota,13699.0,crossover,160,2.0,Petrol,yes,2007,Rav 4,full,TX,Sul,31.054487,-97.563461,2023-10-21 01:31:36,2023
Renault,7440.0,other,148,1.5,Diesel,yes,2012,Kangoo ãðóç.,front,VA,Sul,38.003385,-79.458786,2023-10-20 23:00:25,2023
Daewoo,3000.0,sedan,178,1.4,Petrol,yes,2007,Lanos,front,WY,Oeste,42.755966,-107.30249,2023-04-21 08:51:44,2023
Volkswagen,66346.0,crossover,0,3.0,Diesel,yes,2016,Touareg,full,UT,Oeste,40.150032,-111.862434,2023-03-16 06:13:11,2023
Mercedes-Benz,219900.0,crossover,30,6.3,Petrol,yes,2013,G 63 AMG,full,VT,Norte,44.045876,-72.710686,2023-01-14 10:49:32,2023
Renault,8900.0,van,150,2.0,Diesel,yes,2009,Trafic ãðóç.,front,MO,Desconhecido,36.116203,-89.831988,2023-01-23 21:46:12,2023
Land Rover,78900.0,crossover,55,3.0,Diesel,yes,2014,Range Rover Sport,full,NJ,Leste,40.298904,-74.521011,2023-02-23 11:48:44,2023
Renault,3600.0,van,22,1.9,Diesel,yes,2001,Kangoo ãðóç.,front,NJ,Leste,40.298904,-74.521011,2023-02-07 04:27:14,2023
Renault,9999.0,van,185,1.5,Diesel,yes,2008,Kangoo ïàññ.,front,HI,Oeste,21.094318,-157.498337,2023-12-30 18:31:42,2023
Mitsubishi,8200.0,crossover,210,2.4,Gas,yes,2007,Outlander,full,GA,Sul,33.040619,-83.643074,2023-08-26 19:24:05,2023
Toyota,12900.0,hatch,37,1.4,Petrol,yes,2013,Auris,front,RI,Norte,41.680893,-71.51178,2023-06-03 18:12:21,2023
Mercedes-Benz,9300.0,sedan,342,2.6,Petrol,yes,2003,E-Class,rear,TN,Sul,35.747845,-86.692345,2023-08-23 05:04:06,2023
Mercedes-Benz,13600.0,hatch,147,2.0,Diesel,yes,2008,B 200,rear,OK,Sul,36.820746,-95.929594,2023-10-20 05:08:44,2023
Volkswagen,24900.0,sedan,1,1.6,Diesel,yes,2016,Jetta,front,TN,Sul,35.747845,-86.692345,2023-10-06 21:28:49,2023
BMW,8900.0,sedan,256,2.2,Petrol,yes,2002,5 Series,,IL,Leste,40.298904,-87.43114,2023-02-01 02:15:44,2023
Mercedes-Benz,6900.0,sedan,350,3.0,Diesel,yes,1994,E-Class,rear,MI,Norte,42.874721,-86.251989,2023-04-29 06:24:23,2023
Mercedes-Benz,4900.0,van,262,2.3,Diesel,yes,1998,Vito ãðóç.,rear,MT,Norte,46.116203,-112.869665,2023-11-24 11:51:00,2023
Mercedes-Benz,25500.0,sedan,137,2.2,Diesel,yes,2012,E-Class,rear,FL,Sul,27.766279,-81.686783,2023-11-11 09:01:24,2023
Ford,8000.0,vagon,230,2.2,Diesel,yes,2006,Transit ïàññ.,front,GA,Sul,33.040619,-83.643074,2023-11-25 03:19:57,2023
Toyota,14900.0,sedan,106,2.4,Petrol,yes,2008,Camry,front,WI,Norte,43.351915,-88.825217,2023-02-01 05:19:48,2023
Daewoo,3700.0,sedan,135,,Gas,yes,2004,Lanos,front,MT,Norte,46.116203,-112.869665,2023-02-22 06:50:31,2023
Mercedes-Benz,4000.0,sedan,300,1.8,Petrol,yes,1996,C-Class,rear,OR,Oeste,33.004106,-116.418468,2023-08-10 14:26:19,2023
Opel,4476.0,sedan,290,2.0,Gas,yes,1998,Omega,rear,CA,Oeste,36.116203,-119.681564,2023-08-07 03:23:53,2023
Opel,9700.0,van,160,2.0,Diesel,yes,2012,Vivaro ãðóç.,front,OH,Leste,40.388783,-82.764915,2023-04-19 10:03:15,2023
Opel,2900.0,hatch,260,1.4,Petrol,yes,1992,Astra F,front,MA,Norte,42.230171,-71.530106,2023-02-21 16:04:24,2023
Peugeot,9300.0,hatch,49,1.0,Petrol,yes,2014,107,front,KY,Sul,37.66814,-84.670067,2023-08-07 16:22:56,2023
Daewoo,3900.0,sedan,220,1.5,Petrol,yes,2004,Lanos,front,MI,Norte,42.874721,-86.251989,2023-02-20 04:18:52,2023
Mitsubishi,8000.0,sedan,67,1.5,Petrol,yes,2009,Lancer X,front,WV,Sul,38.491226,-80.954522,2023-06-03 16:51:18,2023
Peugeot,9700.0,vagon,148,1.6,Other,yes,2008,Partner ïàññ.,front,OH,Leste,40.388783,-82.764915,2023-06-11 10:35:29,2023
Renault,9150.0,van,220,2.0,Diesel,yes,2007,Trafic ïàññ.,front,HI,Oeste,21.094318,-157.498337,2023-11-07 20:34:04,2023
Toyota,13800.0,other,160,3.5,Gas,yes,2006,Camry,front,IN,Leste,36.278726,-86.302264,2023-01-24 21:41:31,2023
Mercedes-Benz,13995.0,van,126,2.2,Diesel,yes,2013,Vito ïàññ.,,SD,Norte,44.299782,-99.438828,2023-04-02 07:00:11,2023
Volkswagen,8200.0,sedan,180,,Petrol,yes,2007,Jetta,front,WI,Norte,43.351915,-88.825217,2023-12-09 14:28:27,2023
BMW,13000.0,sedan,304,4.4,Other,yes,2002,745,,ME,Norte,44.693947,-69.381927,2023-11-09 15:53:37,2023
Mercedes-Benz,15900.0,vagon,219,3.0,Diesel,yes,2007,E-Class,rear,VT,Norte,44.045876,-72.710686,2023-09-21 19:19:10,2023
Mercedes-Benz,18000.0,van,147,2.2,Diesel,yes,2013,Vito ãðóç.,rear,VA,Sul,38.003385,-79.458786,2023-03-24 12:56:32,2023
Tesla,89000.0,sedan,1,,Other,yes,2016,Model S,rear,OR,Oeste,33.004106,-116.418468,2023-06-09 02:01:54,2023
Tesla,60500.0,sedan,5,,Other,yes,2015,Model S,rear,DE,Sul,38.665721,-75.755137,2023-12-21 01:57:32,2023
Toyota,21999.0,crossover,69,3.5,Petrol,yes,2008,Highlander,full,WI,Norte,43.351915,-88.825217,2023-11-22 10:21:11,2023
SsangYong,11500.0,crossover,165,2.7,Diesel,yes,2008,Rexton II,full,UT,Oeste,40.150032,-111.862434,2023-04-17 02:19:16,2023
Ford,28999.0,sedan,2,2.5,Petrol,yes,2015,Mondeo,front,NY,Leste,40.298904,-74.521011,2023-03-10 13:53:56,2023
Skoda,13400.0,sedan,76,1.8,Petrol,yes,2013,Octavia A5,front,DE,Sul,38.665721,-75.755137,2023-10-28 17:37:47,2023
BMW,13999.0,sedan,265,3.0,Diesel,yes,2005,730,rear,WY,Oeste,42.755966,-107.30249,2023-11-23 14:26:47,2023
Honda,16700.0,sedan,71,2.0,Petrol,yes,2011,Accord,front,AZ,Oeste,33.729759,-111.431221,2023-09-08 06:59:50,2023
Skoda,8200.0,sedan,224,1.8,Petrol,yes,2009,Octavia Tour,front,CO,Oeste,39.059811,-105.311104,2023-03-09 05:50:52,2023
BMW,8990.0,other,300,2.2,Petrol,yes,2002,320,rear,AK,Oeste,61.370716,-149.493686,2023-05-25 14:38:54,2023
Mitsubishi,5500.0,sedan,165,1.6,Petrol,yes,2006,Lancer,front,AK,Oeste,61.370716,-149.493686,2023-02-09 07:04:48,2023
Geely,6700.0,crossover,18,,Gas,yes,2014,MK Cross,full,PA,Leste,40.590752,-77.209755,2023-06-02 16:27:29,2023
Mercedes-Benz,5500.0,other,220,2.2,Diesel,yes,2002,Vito ïàññ.,front,MN,Norte,44.299782,-93.774173,2023-08-19 02:37:03,2023
Toyota,12450.0,sedan,162,3.5,Gas,yes,2007,Camry,front,KS,Desconhecido,38.5266,-96.726486,2023-05-17 23:06:55,2023
Opel,12200.0,van,145,2.0,Diesel,yes,2013,Vivaro ïàññ.,front,KS,Desconhecido,38.5266,-96.726486,2023-10-14 07:28:58,2023
Opel,7300.0,vagon,280,2.5,Diesel,yes,2003,Omega,rear,NJ,Leste,40.298904,-74.521011,2023-07-06 15:48:43,2023
Mazda,7950.0,sedan,140,2.0,Other,yes,2006,6,front,ID,Oeste,44.299782,-114.74204,2023-09-21 09:57:30,2023
Mercedes-Benz,14800.0,van,139,3.0,Diesel,yes,2008,Vito ïàññ.,rear,OK,Sul,36.820746,-95.929594,2023-11-02 02:31:14,2023
Ford,6099.0,sedan,220,1.8,Gas,yes,2002,Mondeo,front,WY,Oeste,42.755966,-107.30249,2023-05-09 12:04:39,2023
Mercedes-Benz,8700.0,van,290,2.2,Diesel,yes,2005,Vito ïàññ.,rear,AL,Sul,32.806671,-86.79113,2023-10-08 18:15:14,2023
Mercedes-Benz,1200.0,sedan,240,2.4,Petrol,no,1999,E-Class,rear,MN,Norte,44.299782,-93.774173,2023-09-10 17:27:33,2023
Mercedes-Benz,28500.0,sedan,148,2.2,Diesel,yes,2011,E-Class,rear,LA,Sul,31.169546,-91.867805,2023-10-31 23:21:07,2023
Hyundai,5100.0,hatch,108,1.4,Petrol,yes,2007,Getz,front,TX,Sul,31.054487,-97.563461,2023-09-15 13:30:13,2023
Mercedes-Benz,12800.0,other,360,2.2,Diesel,yes,2008,Vito ïàññ.,rear,MI,Norte,42.874721,-86.251989,2023-06-19 12:28:12,2023
Land Rover,72000.0,crossover,45,5.0,Petrol,yes,2013,Range Rover Sport,full,TN,Sul,35.747845,-86.692345,2023-03-03 20:59:38,2023
Mercedes-Benz,12950.0,sedan,313,3.2,Diesel,yes,2003,S 320,rear,CO,Oeste,39.059811,-105.311104,2023-01-19 01:21:38,2023
Honda,19499.0,crossover,144,3.5,Petrol,yes,2008,Pilot,full,IA,Norte,42.019842,-93.210526,2023-06-17 02:44:11,2023
Hyundai,6300.0,sedan,76,,Petrol,yes,2010,Accent,front,NE,Desconhecido,41.12537,-98.268082,2023-05-20 22:28:18,2023
Mercedes-Benz,129999.0,crossover,1,2.99,Diesel,yes,2016,GLS 350,full,VA,Sul,38.003385,-79.458786,2023-06-09 08:54:13,2023
Ford,7300.0,other,130,1.8,Diesel,yes,2011,Transit Connect ãðóç.,front,KS,Desconhecido,38.5266,-96.726486,2023-06-06 20:37:30,2023
Bentley,0.0,crossover,1,6.0,Petrol,yes,2016,Bentayga,full,OH,Leste,40.388783,-82.764915,2023-04-08 00:44:07,2023
Nissan,10500.0,crossover,155,2.5,Gas,yes,2007,X-Trail,full,IL,Leste,40.298904,-87.43114,2023-01-05 07:25:51,2023
Volkswagen,17900.0,vagon,115,1.8,Petrol,yes,2012,Passat B7,front,AR,Sul,34.969704,-92.373123,2023-12-13 17:52:40,2023
Volkswagen,9600.0,sedan,185,1.6,Gas,yes,2008,Jetta,front,IA,Norte,42.019842,-93.210526,2023-06-06 04:59:23,2023
Volkswagen,13000.0,van,110,1.9,Diesel,yes,2009,T5 (Transporter) ïàññ.,front,NY,Leste,40.298904,-74.521011,2023-11-16 00:24:49,2023
VAZ,3600.0,hatch,114,1.6,Gas,yes,2010,2113,front,ME,Norte,44.693947,-69.381927,2023-05-12 03:26:14,2023
Opel,11350.0,van,177,2.0,Diesel,yes,2012,Vivaro ãðóç.,front,NM,Oeste,34.423698,-106.445356,2023-08-09 14:51:10,2023
Chevrolet,6150.0,sedan,102,1.5,Petrol,yes,2008,Aveo,front,WY,Oeste,42.755966,-107.30249,2023-08-13 00:18:58,2023
Mercedes-Benz,11500.0,sedan,180,3.2,Gas,yes,2004,E-Class,rear,MN,Norte,44.299782,-93.774173,2023-01-25 22:16:11,2023
Chevrolet,8300.0,sedan,97,2.0,Petrol,yes,2010,Epica,front,NV,Oeste,38.313515,-117.055374,2023-02-02 10:43:37,2023
Ford,2000.0,van,320,2.5,Diesel,no,1996,Transit ãðóç.,rear,VA,Sul,38.003385,-79.458786,2023-01-27 02:25:25,2023
Audi,37000.0,other,170,3.0,Diesel,yes,2010,Q7,full,CT,Norte,41.597782,-72.755371,2023-06-01 08:27:12,2023
Lexus,17600.0,crossover,157,,Petrol,yes,2006,RX 350,full,KS,Desconhecido,38.5266,-96.726486,2023-11-25 12:30:44,2023
Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007,Vito ïàññ.,,OK,Sul,36.820746,-95.929594,2023-12-11 18:00:38,2023
Skoda,5200.0,hatch,183,1.2,Gas,yes,2006,Fabia,front,OR,Oeste,33.004106,-116.418468,2023-04-04 07:11:31,2023
Toyota,44700.0,crossover,120,3.5,Petrol,yes,2013,Venza,full,CT,Norte,41.597782,-72.755371,2023-03-19 23:37:52,2023
Skoda,6000.0,hatch,100,1.2,Petrol,yes,2008,Fabia,,OR,Oeste,33.004106,-116.418468,2023-01-12 04:04:16,2023
Nissan,8500.0,hatch,81,1.6,Petrol,yes,2008,TIIDA,front,NE,Desconhecido,41.12537,-98.268082,2023-11-11 00:33:32,2023
Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008,Pajero Sport,full,MN,Norte,44.299782,-93.774173,2023-08-19 06:14:09,2023
Peugeot,9600.0,van,150,1.6,Diesel,yes,2010,Partner ïàññ.,front,CA,Oeste,36.116203,-119.681564,2023-06-01 19:08:39,2023
Skoda,8300.0,sedan,165,2.0,Petrol,yes,2006,Octavia A5,front,MA,Norte,42.230171,-71.530106,2023-03-15 01:22:51,2023
Honda,20999.0,sedan,74,2.4,Petrol,yes,2011,Accord,front,OK,Sul,36.820746,-95.929594,2023-01-23 16:42:23,2023
Audi,2600.0,vagon,110,2.5,Diesel,no,2002,A6,front,NH,Norte,43.452492,-71.563896,2023-09-12 20:33:45,2023
Ford,6900.0,hatch,139,1.4,Petrol,yes,2011,Fusion,front,KY,Sul,37.66814,-84.670067,2023-03-06 20:09:59,2023
Mercedes-Benz,8100.0,van,330,2.2,Diesel,yes,2001,Vito ïàññ.,front,WV,Sul,38.491226,-80.954522,2023-02-20 01:29:42,2023
Toyota,42500.0,crossover,50,3.0,Diesel,yes,2012,Land Cruiser Prado,full,NH,Norte,43.452492,-71.563896,2023-02-08 20:03:47,2023
VAZ,3750.0,sedan,100,1.5,Petrol,yes,2008,2115,front,HI,Oeste,21.094318,-157.498337,2023-01-04 21:32:12,2023
Skoda,16000.0,crossover,40,1.8,Petrol,yes,2013,Yeti,full,ND,Norte,47.528912,-99.784012,2023-11-19 13:09:00,2023
Chevrolet,35000.0,other,15,3.6,Petrol,yes,2012,Camaro,,DE,Sul,38.665721,-75.755137,2023-02-27 17:38:05,2023
Mercedes-Benz,11700.0,sedan,246,5.0,Petrol,yes,2004,S 500,full,ME,Norte,44.693947,-69.381927,2023-01-19 10:58:06,2023
Mercedes-Benz,63000.0,crossover,160,3.0,Diesel,yes,2013,GL 350,full,CA,Oeste,36.116203,-119.681564,2023-10-19 10:45:28,2023
Lexus,6000.0,sedan,350,3.0,Petrol,yes,1996,GS 300,rear,MN,Norte,44.299782,-93.774173,2023-05-23 06:14:28,2023
Mercedes-Benz,12500.0,van,386,2.2,Diesel,yes,2008,Sprinter 313 ïàññ.,rear,DE,Sul,38.665721,-75.755137,2023-04-28 13:23:52,2023
Jeep,12500.0,crossover,125,2.5,Petrol,yes,1994,Wrangler,full,NM,Oeste,34.423698,-106.445356,2023-11-08 00:17:31,2023
Smart,5600.0,other,158,0.7,Petrol,yes,2006,Fortwo,rear,TX,Sul,31.054487,-97.563461,2023-07-18 20:16:48,2023
Mercedes-Benz,15500.0,sedan,270,3.2,Diesel,no,2007,S 320,rear,NJ,Leste,40.298904,-74.521011,2023-07-15 07:34:57,2023
Hyundai,17500.0,sedan,60,1.8,Petrol,yes,2013,Elantra,front,NY,Leste,40.298904,-74.521011,2023-10-18 10:05:55,2023
Volkswagen,22000.0,crossover,98,2.0,Diesel,yes,2013,Tiguan,full,FL,Sul,27.766279,-81.686783,2023-10-09 13:16:48,2023
Volkswagen,0.0,van,158,1.6,Diesel,yes,2012,Caddy ãðóç.,front,WY,Oeste,42.755966,-107.30249,2023-08-17 22:26:38,2023
Volkswagen,16700.0,sedan,175,2.0,Petrol,yes,2011,Passat CC,front,SC,Sul,33.856892,-80.945007,2023-10-17 18:08:18,2023
Volkswagen,8499.0,sedan,101,1.6,Petrol,yes,2012,Polo,,SC,Sul,33.856892,-80.945007,2023-09-05 10:37:16,2023
Opel,5000.0,van,190,1.3,Diesel,yes,2005,Combo ïàññ.,front,NJ,Leste,40.298904,-74.521011,2023-06-18 23:04:04,2023
Nissan,7650.0,van,107,1.6,Gas,yes,2007,Note,front,WA,Oeste,47.731157,-120.805472,2023-11-24 13:40:22,2023
VAZ,3300.0,hatch,120,1.6,Gas,yes,2007,2112,front,LA,Sul,31.169546,-91.867805,2023-07-20 17:55:12,2023
Fiat,7700.0,van,96,1.3,Diesel,yes,2011,Doblo ãðóç.,front,MA,Norte,42.230171,-71.530106,2023-07-28 05:35:07,2023
BMW,32000.0,crossover,52,3.0,Petrol,yes,2012,X5,full,DE,Sul,38.665721,-75.755137,2023-07-25 06:20:04,2023
Renault,10499.0,other,160,,Diesel,yes,2013,Trafic ãðóç.,front,VA,Sul,38.003385,-79.458786,2023-02-28 16:11:37,2023
Opel,8500.0,van,230,1.9,Diesel,yes,2004,Vivaro ïàññ.,,IL,Leste,40.298904,-87.43114,2023-03-29 20:51:00,2023
BMW,15500.0,sedan,89,2.0,Diesel,no,2012,520,rear,LA,Sul,31.169546,-91.867805,2023-03-15 05:34:05,2023
Renault,7200.0,van,285,1.9,Diesel,yes,2002,Trafic ïàññ.,front,MA,Norte,42.230171,-71.530106,2023-11-30 21:23:34,2023
Daewoo,2200.0,sedan,200,1.5,Petrol,yes,2003,Lanos,front,NE,Desconhecido,41.12537,-98.268082,2023-06-20 06:06:09,2023
Daewoo,1350.0,sedan,225,,Gas,no,1998,Lanos,front,UT,Oeste,40.150032,-111.862434,2023-08-19 02:00:33,2023
Kia,11500.0,hatch,93,,Petrol,yes,2011,Soul,front,NC,Sul,35.630066,-79.806419,2023-01-20 03:42:19,2023
Volkswagen,11990.0,sedan,245,2.0,Diesel,yes,2007,Passat B6,,AZ,Oeste,33.729759,-111.431221,2023-03-09 07:18:40,2023
Peugeot,14000.0,vagon,45,1.6,Diesel,yes,2013,Partner ïàññ.,front,MN,Norte,44.299782,-93.774173,2023-03-31 03:54:58,2023
Opel,2550.0,sedan,195,2.2,Petrol,no,2000,Omega,rear,MO,Desconhecido,36.116203,-89.831988,2023-04-29 00:28:37,2023
Mercedes-Benz,8999.0,van,360,2.2,Diesel,yes,2006,Vito ïàññ.,rear,OR,Oeste,33.004106,-116.418468,2023-02-16 15:17:47,2023
Ford,7999.0,sedan,146,1.6,Petrol,yes,2010,Focus,front,DE,Sul,38.665721,-75.755137,2023-03-15 12:50:29,2023
Fiat,1950.0,hatch,215,1.4,Petrol,yes,1991,Tipo,,TN,Sul,35.747845,-86.692345,2023-04-29 21:32:05,2023
Chevrolet,4200.0,sedan,160,1.5,Petrol,yes,2005,Aveo,front,AL,Sul,32.806671,-86.79113,2023-03-27 00:59:12,2023
Opel,7700.0,van,280,1.9,Diesel,yes,2003,Vivaro ïàññ.,front,UT,Oeste,40.150032,-111.862434,2023-05-01 22:05:29,2023
Toyota,20100.0,crossover,48,2.0,Petrol,yes,2012,Rav 4,full,TN,Sul,35.747845,-86.692345,2023-06-15 04:10:42,2023
BMW,6500.0,sedan,1,3.5,Petrol,yes,1999,535,rear,TX,Sul,31.054487,-97.563461,2023-09-02 17:24:59,2023
Volkswagen,10799.0,van,128,1.9,Diesel,yes,2010,Caddy ïàññ.,front,AK,Oeste,61.370716,-149.493686,2023-02-24 15:08:16,2023
Volkswagen,9850.0,sedan,110,2.0,Petrol,yes,2006,Passat B6,front,MI,Norte,42.874721,-86.251989,2023-09-11 00:50:50,2023
Renault,9900.0,crossover,201,1.9,Diesel,yes,2006,Kangoo ïàññ.,full,KS,Desconhecido,38.5266,-96.726486,2023-06-18 05:33:20,2023
Peugeot,6300.0,hatch,176,1.6,Gas,yes,2005,307,full,AR,Sul,34.969704,-92.373123,2023-06-29 20:49:51,2023
Opel,7400.0,vagon,230,1.3,Diesel,yes,2006,Astra H,front,PA,Leste,40.590752,-77.209755,2023-12-03 04:52:08,2023
Hyundai,29400.0,sedan,0,2.0,Petrol,yes,2016,Sonata,front,MA,Norte,42.230171,-71.530106,2023-09-16 07:57:39,2023
Mitsubishi,11450.0,sedan,60,1.6,Gas,yes,2012,Lancer X,front,SC,Sul,33.856892,-80.945007,2023-07-28 09:51:19,2023
